English_Sentence,Hindi_Sentence,Word_Count_English,Word_Count_Hindi,WC_Difference,Char_Count_English,Char_Count_Hindi,CC_Difference
"""The Akali Dal-BJP combine is in power in Punjab.",Doctors declared him dead at the hospital.,9,7,2,49,42,7
"He moved on to Farrukhbad and then to Lucknow, where he died.","""The police is examining the CCTV footages of cameras from the surrounding areas.",12,13,-1,61,81,-20
"""The admit card is an essential certificate for the exam.","At this exciting time, we must not allow our zeal to weaken as we stand for true worship.",10,18,-8,57,89,-32
"""The love of self mentioned at 2 Timothy 3: 2 is not a normal, healthy love.","So if you think about it, this is an extreme case scenario,",16,12,4,76,59,17
"""The aircraft can carry 800 passengers.","We were not involved, he said.",6,6,0,39,30,9
"Impressionist composers favoured short forms such as the nocturne, arabesque, and prelude, and often explored uncommon scales such as the whole tone scale.","""""""If a passenger shows Aadhaar or driving licence from the 'issued documents' section by logging into his Digilocker account, the same should be considered as valid proof of identity,"""" the order said.""",23,32,-9,155,203,-48
This saves both time and money.,appeal has been disposed of,6,5,1,31,27,4
Also read: Does the Modi Government Really Want to Promote Urdu?,Rajesh Tope said the number of coronavirus positive patients in the state has increased to 63 with 11 new cases.,11,20,-9,64,112,-48
"Noticing the incident, a few locals informed the police by calling dial 100.",Im not happy about it.,13,5,8,76,22,54
Democrats demand John Bolton testify at Donald Trump impeachment trial,"Bhada is a village in Jafrabad Taluka of Amreli district, Gujarat, India.",10,12,-2,70,73,-3
"""""""It's high time that individuals from all sections of society come forward and actively contribute and participate in the mainstream politics, and help in shaping up the nation,"""" Tewari said.""",Prime Minister Modi cast his vote at a polling booth in Nishan Higher Secondary School in Ranip area in Ahmedabad.,30,20,10,195,114,81
"""The various implementations of the welfare state fall into three categories: (i) social democratic, (ii) conservative, and (iii) liberal.",Numerous species of trees are found in these forests.,19,9,10,138,53,85
Shamshad and Usman were picked up for questioning from Haryana's Mewat district late last night,He was the Defence Minister from 2014 to 2017.,15,9,6,95,46,49
"For the first time, CIL posted a positive growth for the year at 0.9% ending October.","Wed spend a lot of time, just one on one together, talking through, taking the team forward.",16,17,-1,85,92,-7
"""The 26-year-old Nair scored 612 runs for Karnataka in the last Ranji Trophy with three hundreds.","""The british madical association is given up to 19 years wait is not suitable.",16,14,2,97,78,19
"""The police have seized the vehicle and have started further investigation.",BJP members were not present in the House then.,11,9,2,75,47,28
He called on the members of the force to cooperate with General Qaani.,"PM Modi asked the officers to fix clear targets to improve the country's tax administration by 2022, the 75th anniversary of independence.",13,22,-9,70,138,-68
"To deal with the situation, the government announced a package of relief measures.","""The act of conviction achieves half the purpose of justice.",13,10,3,82,60,22
Polling for the 70-member Delhi Assembly polls was held on Saturday,He did not co-operate in the investigation.,11,7,4,67,43,24
"""The US Embassy in Pakistan too has been alerted.",Speculations were rife since then.,9,5,4,49,34,15
"""He added, """"The pollution problem cannot be resolved in one day.""",Sara made her debut with the 2018 film Kedarnath.,11,9,2,66,49,17
He looked down and saw him in the midst of the Fire.,"""Then, rinse off with plain water.",12,6,6,52,34,18
"Later, on the night of July 6-7, police tortured and murdered my brother.",It helps you to cope with stress and anxiety.,13,9,4,73,45,28
Several of its members occupied high posts at the court of the Imeretian kings.,"""Then the decision will be taken.",14,6,8,79,33,46
I have looked at clothes merely as a means of covering the body and protecting it against heat and cold.,Around 10 crore people are directly or indirectly involved in the industry.,20,12,8,104,75,29
Background Transgender community is among one of the most marginalized communities in the country because they dont fit into the stereotypical categories of gender of men or women.,"Seventh seeds Sania Mirza and Barbora Strycova were beaten 6-7 (3), 1-6 by top seeds Caroline Garcia and Kristina Mladenovic in the womens doubles quarter-finals of the US Open, thereby ending Indias campaign in the tennis tournament.",28,37,-9,180,234,-54
Share and control access to your printers with any Google account.,"Transportation for medical personnel, nurses, and para-medical staff and other hospital support services will also be permitted.",11,17,-6,66,128,-62
"""The action & attention should be at Divisional level, Railway Divisions as a business unit should be a focal point of the changes.",AIMIM chief Asaduddin Owaisi told PTI that preliminary talks held between both parties have yielded positive results.,23,17,6,131,117,14
"""""""Lakhs of Ram bhakts will participate in these rallies.""",Police have arrested five people in this connection.,9,8,1,58,52,6
"""They said, """"In God we put our trust. Our Lord, make us not a trial [the subject of persecution] for the oppressors.""","""A BCCI source also confirmed the development to news agency PTI, saying: """"Jasprit Bumrah suffered an abdominal strain while fielding in Sydney.""",22,22,0,118,146,-28
Police said arrests will be made soon.,We must be proud of our legacy.,7,7,0,38,31,7
Why is more required of us than just waiting for Jehovah to fulfill his promises?,"However, there is no announcement yet of any seat-sharing formula.",15,10,5,81,66,15
PART A Provisions as to the President and the Governors of States.,Financial Reports and their integrity,12,5,7,66,37,29
She was residing with her sister as she had strained his with her husband.,Indian captain Virat Kohli has been rested from the upcoming three-match T20I series against Bangladesh.,14,15,-1,74,104,-30
Ganesh Naik is an Indian politician.,So I swear by the afterglow of sunset.,6,8,-2,36,38,-2
Ex-Army official arrested in suspicion of espionage,Harish Rawat appears before CBI in sting CD case,7,9,-2,51,48,3
"Even during the campaigning in Karnataka, Rahul Gandhi had said that if the Congress became the single largest party, he could be the next Prime Minister.","""The 19-year-old Sindhu, who clinched the bronze at the 2013 World Championship in China, produced another gritty performance to see off All-England champion Shixian Wang of China 19-21 21-19 21-15 at Ballerup Super Arena.",26,34,-8,154,222,-68
"Apart from Jesus, there is no man that does not sin.","and persisted in the Great Sin,",11,6,5,52,31,21
"""""""It's often easier to """"""""noun-ify"""""""" a verb than to just use lots of words.""""""",All the bowlers chipped in with wickets for India.,14,9,5,82,50,32
A case has been registered at Vijayanagar Police Station in this regard.,"Independent candidate Saryu Rai, who was pitted against incumbent Jharkhand Chief Minister Raghubar Das, is leading from Jamshedpur (East).",12,19,-7,72,139,-67
"This image's head was of fine gold, his breast and his arms of silver, his belly and his thighs of brass,","After Lazarus Saturday comes Palm Sunday, Holy Week, and finally Easter itself, and the fast is broken immediately after the Paschal Divine Liturgy.",21,23,-2,105,148,-43
It is being feared that the death toll might increase.,Do note that JioHomeTV is different from Jio DTH service.,10,10,0,54,57,-3
"However, it is suspected that an electrical short circuit had caused the fire.","But as for those who disbelieved, and rejected Our signs and the encounter of the Hereafterthose will be hauled into the torment.",13,22,-9,78,129,-51
"Directed by Hansal Mehta, the film is a Luv Films production and is presented by Gulshan Kumar & Bhushan Kumar.","""Then We said: Go you both to the people who rejected Our communications. so We destroyed them with utter destruction.",20,20,0,111,118,-7
"""The State is located in altitudes ranging from 450 metres to 6, 500 metres above sea level.","But, lo, he speaketh boldly, and they say nothing unto him. Do the rulers know indeed that this is the very Christ?",17,22,-5,92,115,-23
Police have also examined his mobile phone.,"In the clash, one person was shot dead and six others were left injured.",7,14,-7,43,72,-29
"Please accept, Excellency, my best wishes for success in the discharge of your high responsibilities as well as your personal health and well being.","""The international crude oil price of Indian Basket as computed/published today by Petroleum Planning and Analysis Cell (PPAC) under the Ministry of Petroleum and Natural Gas was US$ 28.73 per barrel (bbl) on 11.01.2016.",24,34,-10,148,220,-72
Police have lodged a case against the accused and arrested him.,This is the biggest lesson we have learnt.,11,8,3,63,42,21
Contestants are going all out to reach the finale any which way.,it is derivable from your password entry,12,7,5,64,40,24
"Among all your films, which do you consider your best?",Party president MK Stalin and MP Kanimozhi also present.,10,9,1,54,56,-2
He is a right-handed batsman who also sometimes plays as a wicket-keeper.,"""There have been major flooding problems associated with the river.",12,10,2,73,67,6
This is the strength of Indias democracy.,"""The film has been directed by Sandeep Reddy Vanga.",7,9,-2,41,51,-10
"So if Sardar Patel meets Modi ji, then he will be very angry with him.","Kyle Jamieson could be in for a potential debut, while Scott Kuggeleijn and Hamish Bennett return to the squad after a long absence.",15,23,-8,70,132,-62
Apache helicopters are capable of detecting 256 moving targets and engaging them.,"After a few weeks, she reviews these items and finds that half of them need no action.",12,17,-5,81,86,-5
connected with a court of law.,"""The results were released on the official website were declared on March 10.",6,13,-7,30,77,-47
"""The rest of us in the family and the staff are all safe and display no symptoms.",Fuel prices hiked for fourth straight day,17,7,10,81,41,40
. Expansion of bilateral cooperation in the tourism sector.,"""There is no restriction on them.",9,6,3,59,33,26
We don't know when he will realise.,"It is rich in antioxidants, and vitamins.",7,7,0,35,41,-6
"""The days are getting shorter and nights colder.","""The most recent suggestion is that it is a primitive hagfish.",8,11,-3,48,62,-14
"""The film has received a great response from the audience.","This is under Mission 100 Days program starting from 5th September to 15th December,2020",10,14,-4,58,88,-30
WHY are you convinced that Jehovah loves his people?,China is Pakistans principal benefactor.,9,5,4,52,40,12
"ISL: Jeje, Balwant in 22-member Indian squad of East Bengal","Bengal hikes salaries of CM, ministers, MLAs",10,7,3,59,44,15
Chefs of traditional delicacies from different regions of the country will treat the visitors to an unparalleled culinary experience.,"And thats why I say, why would he want me?",19,10,9,133,42,91
BJP is also in a similar state.,"""""""Everyone in the board feels that this issue needs to come to an end.""",7,14,-7,31,72,-41
"Annotate Digital Video, Exchange on the NEt",Every country has that responsibility.,7,5,2,43,38,5
"""The device has a power & volume button on the right side of the device while there is a microSC card slot on the bottom left side of the device.","""""""One head constable succumbed to his injuries, three more are injured and stable,"""" Inspector General, CRPF Rajesh Kumar told IANS.""",30,20,10,145,134,11
But there were other issues.,It only helped the BJP.,5,5,0,28,23,5
Salman Khan gives a sneak-peek into Bigg Boss 14 house | See Photos,Kareena Kapoor Khan also stars in the movie.,13,8,5,67,44,23
Arjun-Shlok win mens doubles title in Iran,Deepika Padukone slays the white sari and black gown look. see pics,7,12,-5,42,67,-25
"""Noah said, """"Lord, do not leave a single disbeliever on earth.""",As many as 35 books are there in this collection.,11,10,1,64,49,15
"""The countries attending the meeting are China, Fiji, Indonesia, Malaysia, Pakistan, Philippines, Samoa, South Korea, Sri Lanka, Thailand and Vietnam.","As you well know, my country has championed the cause of peace and disarmament with consistency and conviction for the past five decades.",20,23,-3,150,137,13
"Following the attestation to the oneness of God, the belief in Muhammad's prophethood is the main aspect of the Islamic faith.","""Their names were Heri (the old name of Herat) and Lahore.",21,11,10,126,58,68
This happened in the Khuria seat from where the state home minister is contesting the polls.,We want justice in this case.,16,6,10,92,29,63
"On the other hand, you may recognize that the criticism against you is well - founded.","""The Rashtriya Janata Dal (RJD)-Lok Janashakti Party (LJP) alliance did not fare well in the polls and secured just 18 seats",16,21,-5,86,124,-38
"""The rainfall during August is likely to be 104 9% of LPA as was forecasted in June.",Her attack against BJP president Amit Shah was also vitriolic.,17,10,7,84,62,22
Police have arrested the driver.,Bulgaria qualified two judokas for each of the following weight classes at the Games.,5,14,-9,32,85,-53
"His call logs, WhatsApp messages and SMSes were also examined, police said.","""The five persons travelling the car died on the spot.",12,10,2,75,54,21
"July 13, 2013, Chandigarh, India","On the other hand, Watson's knock off 35 balls contained five boundaries and three sixes.",5,15,-10,32,89,-57
"Among these people, four tested positive for the virus.","Petrol, diesel price hikes : Congress to protest fuel price hike",9,11,-2,55,64,-9
'When will Ram Mandir be constructed?,Mr. Chaudhary has done 2 lakh rupees worth policy of survivorship assurance.,6,12,-6,37,76,-39
India take on Pakistan in their second match.,Meghalaya is the third Congress-ruled state after Himachal Pradesh and Arunachal Pradesh to ratify the GST bill.,8,17,-9,45,112,-67
A case has been registered against the parents at the Sector 39 police station.,"Smartphones, remote sensing drones, and GPS technology are being used to collect and upload crop harvesting data to reduce delays in claim payments.",14,23,-9,79,148,-69
Players are positive and everyone is giving their best.,"""The girl lodged a complaint with police.",9,7,2,55,41,14
This itself will be a source of immense satisfaction for you and your teams.,Thousands of pilgrims from across the country and abroad visit the shrine daily.,14,13,1,76,80,-4
"For me, this is not a building but Ram Temple.","However, investigators are still trying to establish his supply line beyond Delhi or across the border.",10,16,-6,46,103,-57
Such an attitude which considers more than one option to tackle an issue.,It could be small or even tiny.,13,7,6,73,31,42
"""Bollywood diva Zeenat Aman says she had an iconic journey as an actor and was fortunate to work with """"some really wonderful directors"""".""","This would mean burdening the Court with many documents which may ultimately never be formally tendered iri evidence (say, because the defendant's adinission of certain facts may render them superfluous).",23,30,-7,139,204,-65
He also announced that a stadium will be built in the state to be named after Dhoni.,Ranbir Kapoor celebrates his birthday as a child in a throwback pic shared by mom Neetu Kapoor on Instagram.,17,19,-2,84,108,-24
"During the meet, members also discussed about the collection of funds for organising the event.","Friends, Education develops human resources.",15,5,10,95,44,51
His highest score in an innings was 67.,"""The GCC includes Saudi Arabia, Kuwait, Bahrain, Qatar, Oman and the United Arab Emirates.",8,14,-6,39,90,-51
"When contacted, a Sahara group spokesperson declined to disclose the names of prospective buyers, saying deals are in process and will materialise soon.","All Room Air Conditioners to have Default Temperature Setting of 24 Degrees Celsius from Jan 1, 2020",23,17,6,152,100,52
"""The army will be routed and put to flight.","In doing so, he also took aim at Prime Minister Narendra Modi.",9,12,-3,43,62,-19
"""The pair put up 61 runs for the second wicket.","Its nearest rival, the BJP, won four seats while the Congress failed to get any.",10,15,-5,47,80,-33
"""Their losses are irreparable and cannot be compensated.",Mishra said the police had procured video footage of the incident.,8,11,-3,56,66,-10
"""The police are still searching him.",PM Modi pays tribute to martyrs of the Pulwama attack,6,10,-4,36,53,-17
"""The viral hepatitis markers for Anti HAV IgM, Anti HEV IgM, HBsAg, Anti HBc, HBeAg, Anti HCV tested.",Genuine impartiality has two elements: attitude and actions. Why are both needed?,18,12,6,101,81,20
Valentines Day is very special day for lovers.,"""The Congress only bagged 52 seats.",8,6,2,46,35,11
A lot of money goes waste.,What documents you should have in handy?,6,7,-1,26,40,-14
"For this purpose, it provides a platform for negotiating agreements between the member countries.","""The Directorate of State Council for Education Research and Training",14,10,4,97,69,28
Lenins statue was destroyed in Tripura,"After postmortem the body was handed to the family,he said.",6,10,-4,38,59,-21
"""The BJP government in the state is running on instructions from the RSS.",( b) What does it mean to rest from ones own work ?,13,13,0,73,51,22
"Guru Nanak was born in 1469 in Talwandi, a village near the west of Lahore",As in religion so also in social and political fields the same was the case.,15,15,0,74,76,-2
BJP announces candidates for Gorakhpur and Phulpur lok Sabha by-elections,"Im Antnio, and I live just up the street.",10,9,1,73,41,32
Riteish Deshmukh is the son of former Maharashtra Chief Minister Vilasrao Deshmukh.,India was ranked 102 out of 117 qualifying countries on the Global Hunger Index.,12,14,-2,83,80,3
"""The world will require youthful manpower and human resources.","""The Puritans discounted his warning.",9,5,4,62,37,25
Eighty nations were represented at the Moscow Games the smallest number since 1956.,Why should Christians honor the secular authority?,13,7,6,83,50,33
"""They can also come in handy as healthy snack.",Narayan Rane quits Cong as party 'reneged on promise',9,9,0,46,53,-7
"""Therefore, his theory is full of shortcomings.",DMRC has decided to take the following action:-,7,8,-1,47,47,0
DAV Public school to mark Childrens Day,"""""""On the basis of vigilance inquiry a regular departmental enquiry would be conducted,"""""""" Kumar had said.""""""",7,16,-9,39,110,-71
"Jairam Ramesh, a former Cabinet minister in the Manmohan Singh government, has broken his silence and has also broken ranks with the party leadership.","""Thereafter it occurred to them even after they had, the signs, to imprison him for a season.",24,17,7,150,93,57
"O sister of Harun: thy father was not a man of evil, nor was thy mother a harlot.","New Delhi, Aug 29: Three terrorists have been killed in an encounter with the security forces in Pulwama, Jammu and Kashmir",18,21,-3,81,123,-42
"""The Congress and the BJP have failed the country.",Bar Council of Andhra Pradesh,9,5,4,50,29,21
"This statement of the MLA was objected by the Congress MLA, Mamta Rakesh.",I have immense trust in Indias capabilities and crisis management.,13,10,3,73,66,7
"Today is the World Population Day. This is an occasion to focus attention on a global problem, which is of particular relevance to India.","""The district magistrate should also have clear details of tourists arriving for trekking, he said.",24,15,9,137,99,38
I extend my greetings and good wishes to all our citizens on the auspicious occasion of Dussehra.,"In New Delhi, the price of petrol has been hiked to Rs.",17,12,5,97,55,42
"""The NDRF team is at the spot and rescue operation is underway.",I dont want say anything.,12,5,7,63,25,38
Behind ISIs renewed India terror offensive: Tale of 2 Jaish factions,"""Therefore, my brethren dearly beloved and longed for, my joy and crown, so stand fast in the Lord, my dearly beloved.",11,21,-10,68,118,-50
"Late on Thursday evening Director General (Security) Gopal Gupta, who is the nodal officer for the visit, had detailed discussions with US security officials","On May 28, elections were held in Legislative Assemblies of Shahkot (Punjab), Tharali (Uttarakhand), Ampati (Meghalaya), Chengannur (Kerala), Jokihat (Bihar), Gomia (Jharkhand), Silli (Jharkhand), Maheshtala (West Bengal), Noorpur (Uttar Pradesh) and Palus Kadegaon (Maharashtra)",24,34,-10,157,279,-122
"Representatives of Political Parties in Andhra Pradesh Appeal for Maintaining Peace, Harmony and Law and Order","""The high court asked the state government to respond to the plea.",16,12,4,110,66,44
"""The accused is absconding and police are searching for him.",NCP president Pawar braving the rains at a rally in Satara,10,11,-1,60,58,2
During his time at the Sabarmati Ashram Gandhi's reputation as the voice of the masses and as the leader of the nation would further increase.,I wish to inform all government servants and police that you cannot carry out illegal orders from the purported government that has failed to demonstrate the confidence of the people.,25,30,-5,142,183,-41
It will also air on Star Sports 1 Hindi and Star Sports 1 Hindi HD in Hindi commentary.,Our education system must accept disruption as a norm and prepare our students to manage and build upon the disruptions,18,20,-2,87,119,-32
Father came up and saw what was happening.,Radioactive isotopes are used to label the compounds.,8,8,0,42,53,-11
"He was admitted to Ram Manohar Lohia Hospital, where his condition is said to be critical.","""The 2018 Mini Cooper S draws power from a 2-litre four-cylinder, petrol engine producing 189bhp and 280Nm of torque",16,19,-3,90,116,-26
HC seeks Centre's response on Shah Faesal's plea to give him copy of look out circular,And so by the end of the telophase - - that 's what we' re,16,15,1,86,58,28
"""Fatima shared the same post and wrote: """"Excited"""".""",Punjab Congress chief Capt Amarinder Singh indicated this at a press meet here today.,8,14,-6,53,85,-32
"On the connectivity front, the F7 include Wi-Fi, Bluetooth, USB OTG, 4G VoLTE, and GPS/ A-GPS.","""Biggest transmission and distribution losses are in Jammu and Kashmir.""""""",16,10,6,94,74,20
"If yes, how and when?","Hopefully, people will like the film.",5,6,-1,21,37,-16
We demand that a case be registered and more action should be coming against teachers and medical professionals.,(It is the) days last over and youre doing this?,18,10,8,112,48,64
"Dr.H.Wiranto, Indonesias Coordinating Minister for Political, Legal and Security Affairs, calls on Prime Minister","And therefore, I said I wont fight next Lok Sabha elections.",14,11,3,113,60,53
"Kuldeep Takhi was elected as the vice-president, Harmandeep Singh Guron as secretary, Amit Sharma as joint secretary and Sapna Sharma as the treasurer of the Samrala Bar Association.","Discussions are being held with M/s Oil India Limited (OIL), M/s GNVFCL and Government of Assam for equity participation in the new project.",28,23,5,182,140,42
"""The experience hasn't been bad.",He was taken to a nearby hospital where doctors declared him dead on arrival.,5,14,-9,32,77,-45
"""The claim could not be independently verified.","""The NEET will be held on September 13.",7,8,-1,47,39,8
This matter lay with the Minister of Agriculture.,"""""""For the past seven months, we are hearing this every day but this has not materialised,"""" he said""",8,18,-10,49,101,-52
It is not part of my life.,Four astronauts selected to undergo training in Russia for Gaganyaan mission: ISRO chief K Sivan English.Lokmat.com,7,16,-9,26,115,-89
"""The doctors couldn't save them.",He is currently in a hospital in Ranchi.,5,8,-3,32,40,-8
"""The police also detained two women.","""Former Australian captain Steve Waugh called him """"the Don Bradman of bowling"""".""",6,12,-6,36,82,-46
Chief Reviewing Officer Lt Gen Anbu congratulated the cadets on the completion of their training.,"""The SFI and DYFI (the CPMs student and youth outfits, respectively) still enjoy considerable sway among Keralas youths.",15,18,-3,97,120,-23
"Salman asks the girls Rashami Desai, Shefali Jariwala and Devoleena a few questions and after answering, they are seen waxing Vishal, Paras and Sidharths hands and legs.",Health Minister Anil Vij has ordered the Director-General of Healthcare to prepare a report of the incident.,27,17,10,169,108,61
"Police reached the spot, seized the body and sent it for post-mortem.","""There are two interesting points.",12,5,7,69,34,35
Imran Khan tweeted his message on Twitter.,"""The first issue shows much of Salinger's life in the mental institution.",7,12,-5,42,73,-31
"""The Congress, on the other hand, has fielded Ajay Rai from Varanasi.",Metra is also known as uterus or womb.,12,8,4,69,38,31
"Shah Rukh Khan, Katrina Kaif , Anil Kapoor and others will attend the function.","So, I don't think there is any doubt.",14,8,6,79,37,42
"Rama stated that his wife is with him, and sent her to his younger brother Laxmana who was single.","Eventually, the International Tennis Federation (ITF) moved the tie to Nur-Sultan after its independent tribunal rejected Pakistan Tennis Federations review appeal.",19,21,-2,98,164,-66
But court did not consider this.,This is not the first time that such an incident has transpired.,6,12,-6,32,64,-32
"It is worth remembering that the Congress and United Front Governments, too, have done this.","""The ITDA director Amit Sinha was also among those present on the occasion.",15,13,2,92,75,17
"Some Congress leaders say they demanded at least two ministries from the list comprising agriculture, rural development, industries, housing, transport and cooperation, but the allies Shiv Sena and NCP refused to pay heed.",10:42 am: Delhi: Finance Minister Nirmala Sitharaman chaires the pre budget consultation meeting with Finance Ministers of states & union territories in connection with the Union Budget 2020-21.,33,28,5,222,194,28
How Did Other Bible Writers View the Flood?,"So, I believe in you, your strength and your abilities even more than I believe in myself.",8,17,-9,43,90,-47
"Following these events, Milan did not manage to win a single domestic title until 195051.","Akshay Kumar, Sonam Kapoor and Radhika Apte will soon be seen in the film Padman.",15,15,0,89,81,8
"""""""I am trying to do a web series which will be based on the life of Indira Gandhiji.""",So far there are 30 deaths and 371 people discharged.,18,10,8,86,53,33
And they overtook them at sunrise.,I think thats a very interesting question.,6,7,-1,34,42,-8
We both have very similar interests.,You cannot blame a particular party.,6,6,0,36,36,0
"that could be explored, about beauty.",Let me make this into a one.,6,7,-1,37,28,9
I will look into it whether the state govt can go to the Supreme Court without the approval of the Governor.,"Protests against Padmaavat turn violent in Ahmedabad. shops vandalised, vehicles torched",21,11,10,108,88,20
"I was about to take part in something remarkable, the very first use of accessory-assisted suggestion on children with these kinds of symptoms.","Earlier, Prime Minister Narendra Modi along with CM Yogi launched the Kisan Credit Card and Agricultural Products Organisation on the occasion of the anniversary of the Pradhan Mantri Samman Nidhi.",23,30,-7,143,197,-54
We will take legal action against the MLA who gave an inciting speech.,I cannot relate his work to anyone elses.,13,8,5,70,41,29
Zozibini Tunzi from South Africa crowned Miss Universe 2019,"But we cannot contribute much to it, nor will we gain if we do.",9,14,-5,59,63,-4
"""Explanation.In this clause, and in clause (10AA), """"salary"""" shall have the meaning assigned to it in clause (h) of rule 2 of Part A of the Fourth Schedule .""","""Then these words of Jesus will be fulfilled: At that time the righteous ones will shine as brightly as the sun in the Kingdom of their Father. Matt. 13: 43.",29,30,-1,159,157,2
Police are conducting frequent patrolling in the areas.,"Germany, Portugal contenders to host Champions League final",8,8,0,55,59,-4
"Share thoughts and ideas for the programme on MyGov Open Forum https://mygov.in/group-issue/give-your-inputs-prime-ministers-mann-ki-baat/,the Prime Minister said.",How did the jolt come about?,15,6,9,163,28,135
Before marriage your spouse may have spent time in sports or other recreational pursuits.,"""The members do their homework as per their convenience and discuss their notes to arrive at a decision",14,18,-4,89,103,-14
WhatsApp Latest Features: This amazing WhatsApp feature will change the style of chatting. know how to use,It is only the BJP which understands the aspirations and needs of the entrepreneurs.,17,14,3,106,84,22
He hit three fours and three sixes in his inning.,It lies to the south of the capital Shillong.,10,9,1,49,45,4
"Situation is under control now, said Kumar.",will be completed by 2023-24,7,5,2,43,28,15
"""These orders have been implemented from immediate effect.","So far, Pakistan has reported 89,249 coronavirus cases in the country and 1,838 deaths.",8,14,-6,58,87,-29
Tao Porchon-Lynch (Foreigner) Others-Yoga USA Ms.,"Vivo V17 will be sold in India for Rs 22,990.",6,10,-4,49,45,4
So the Blast struck them at sunrise.,"""The protestors shouted slogans against the state government in presence of huge police force.",7,14,-7,36,94,-58
"""The Independent Members will help Railway Board in setting a strategic direction",It already has MoUs with Haryana and Punjab.,12,8,4,81,44,37
He was later produced in court and sent to jail.,Vivo V17 Pro was launched even before Vivo V17 was launched in India.,10,13,-3,48,69,-21
"and if you shake the trunk of this palm-tree, it will drop fresh ripe dates on you.","""These states are Bihar, Gujarat, Haryana and Orissa.",17,8,9,83,53,30
Punjab Education Board announced the results for Class 12 boards on their official website - pseb.ac.in.,This phone comes with Snapdragon 730G processor and 6.5-inch FHD+ IPS LCD screen.,16,13,3,104,81,23
What did the budget propose?,Shah Rukh Khans daughter Suhana Khan looks dazzling in her latest photoshoot | See Pics,5,15,-10,28,87,-59
"""The police also recovered two country-made firearms and some live cartridges from the possession of the accused.",Holy ones of the Christian congregation are parties to a new covenant.,17,12,5,113,70,43
Many developers often employ different forms of encryption when transmitting and storing sensitive information.,"Indian musicians like Amit Trivedi, Ritviz, The Local Train and Aswekeepsearching will also perform at the event.",14,17,-3,111,113,-2
"His leadership, foresight, maturity and eloquence put him in a league of his own.","fruits and vegetables, medicines, etc.",14,5,9,81,38,43
"""""""India and the US are committed to protect innocent civilians from radical Islamic terrorism.""",NIA investigations revealed that IS operatives had planned attacks in the state.,14,12,2,96,80,16
"Other languages spoken are several Chinese dialects, Iban, and a number of native dialects.",It was not possible for child Fakirmohan to obtain any regular education in such inhospitable milieu.,14,16,-2,91,101,-10
One basis points is 100th of a percentage point.,Fixing composite rate of tax is a complicated process.,9,9,0,48,54,-6
"""Then We gave him the good tidings of a prudent boy.",What does this smack of?,11,5,6,52,24,28
"""The cause? A heart attack.","Price on July 23, 2014 (Previous trading day i.e. 22.07.2014)",5,10,-5,27,61,-34
"Shri Suresh Prabhu, Minister for Railways is visiting France on 11th and 12th April, 2016 and Germany from 13th to 15th April, 2016.","Even if they are recommendations, universities funded by the UGC would be affected",23,13,10,132,82,50
"""""""If you play for India, there would be pressure.""",Made of lecuna or lecunas or temporary absence of manifestation as a symptom.,9,13,-4,51,77,-26
Further strengthen the tourism partnership.,Police have cordoned off the area.,5,6,-1,43,34,9
"From k is equal to 0, to n of a to the k.",Uttar Pradesh: Another BJP leader shot dead,13,7,6,41,43,-2
"Police arrested one man, while another accused is absconding.",Police have detained a minor boy in connection with the murder of the victim.,9,14,-5,61,77,-16
"""Its very tough,"""" he said.""",Congratulations on your new appointment.,5,5,0,28,40,-12
Yuzvendra Chahal scalped four wickets while Kuldeep Yadav bagged three.,"This amounted to contempt of court, he said.",10,8,2,71,44,27
Place the TSC pump in the left side opening,"""The contraband is estimated to be worth Rs 80 crore in the international market, reports said.",9,16,-7,43,95,-52
Fresh spell of dense fog likely over plains of north India from 29 Dec.,"But over time, this notion is changing.",14,7,7,71,39,32
"Each apartment is 5,500 sq ft to 6,800 sq ft in area and comes with four car parking slots.","""An SIT has been formed to investigate why the violence happened and why the police personnel left Inspector Subodh Kumar alone,"""" Prashant Kumar, ADG Meerut Zone, told ANI""",19,28,-9,91,173,-82
"""The list of the top-selling SUVs in India for September 2019 has been released","Heavy rains and floods kill 1,300 in Pakistan",14,8,6,79,45,34
Nodular fibroblastic proliferation that occur in the palm of one or both hands.,How can I join My Gov,13,6,7,79,21,58
Your patriotism and valour have won you the affection and gratitude of our fellow citizens.,Will he live or die?,15,5,10,91,20,71
So leave them in their confusion for a time.,Prime Minister Modi receives Philip Kotler award,9,7,2,44,48,-4
"Ministry of Railways employed first of its kind, a real time 24x7 public grievance system through Twitter and provided medical, security and other emergency assistance to travelling passengers.","""Taking to Twitter, Prime Minister Narendra Modi wrote, """"On his death anniversary, tributes to former PM Shri Rajiv Gandhi.""""""",28,19,9,193,127,66
God used the holy spirit to create the earth and the rest of the universe.,"Summarizing developments, the volume The Roman Siege of Jerusalem says: For five days the Romans attempted to scale the wall, being repulsed time after time.",15,25,-10,74,157,-83
"""There was an estimated 75.69 per cent voting in four assembly seats in Assam.","However, when the soldier saw the magazines and read his name on the labels, he said: Oh, you are one of Jehovahs Witnesses.",14,23,-9,78,124,-46
"In harmony with Pauls prayer, what fruitage is produced by those who love Gods Word?","No, I mean, why are you here?",15,7,8,84,29,55
He travelled to Haripur where he was joined by Akbar Qureshi.,Priyanka Gandhi asked to vacate govt allocated official bungalow in 30 days,11,12,-1,61,75,-14
